Timestamp,Actual_FPS,Memory_MB,Active_Classes
2026-08-18T18:14:01.635955,3.27,455.49,['person']
2026-08-18T18:14:02.931758,3.99,468.97,['person']
2026-08-18T18:14:03.827383,3.84,470.91,['person']
2026-08-18T18:14:04.863417,4.83,455.58,['person']
2026-08-18T18:14:05.858911,4.81,470.98,['person']
2026-08-18T18:14:06.904484,4.79,471.05,['person']
2026-08-18T18:14:07.942787,4.83,470.73,['person']
2026-08-18T18:14:08.972655,4.81,471.07,['person']
2026-08-18T18:14:10.024885,4.81,455.68,['person']
2026-08-18T18:14:11.069312,4.80,471.05,['person']
2026-08-18T18:14:12.174012,4.89,454.43,['person']
2026-08-18T18:14:13.127390,4.80,470.89,['person']
2026-08-18T18:14:14.169702,4.82,470.73,['person']
2026-08-18T18:14:15.220426,4.89,472.58,['person']
2026-08-18T18:14:16.248888,4.83,472.58,['person']
2026-08-18T18:14:17.252820,4.88,472.58,['person']
2026-08-18T18:14:18.342983,4.87,471.00,['person']
2026-08-18T18:14:19.301628,4.92,455.61,['person']
2026-08-18T18:14:20.381560,4.83,471.01,['person']
2026-08-18T18:14:21.429024,4.63,472.48,['person']
2026-08-18T18:14:22.452510,4.83,472.48,['person']
2026-08-18T18:14:23.494278,4.78,455.53,['person']
2026-08-18T18:14:24.720242,4.93,469.65,['person']
2026-08-18T18:14:25.687757,4.39,455.48,['person']
2026-08-18T18:14:26.782337,4.55,470.85,['person']
2026-08-18T18:14:27.795918,4.85,470.69,['person']
2026-08-18T18:14:28.839244,4.82,472.33,['person']
2026-08-18T18:14:29.858222,4.81,472.33,['person']
2026-08-18T18:14:30.883500,4.81,472.33,['person']
2026-08-18T18:14:31.965750,4.78,472.46,['person']
2026-08-18T18:14:32.967080,4.93,472.33,['person']
2026-08-18T18:14:33.988113,4.87,470.96,['person']
2026-08-18T18:14:35.043384,4.82,470.72,['person']
2026-08-18T18:14:36.067383,4.82,470.72,['person']
